iter	Passed	Remaining
163	642	3277
164	645	3264
165	648	3257
166	650	3246
167	655	3246
168	658	3239
169	661	3231
170	664	3222
171	669	3223
172	673	3220
173	676	3210
174	679	3201
175	686	3213
176	689	3205
177	692	3196
178	694	3184
179	697	3177
180	701	3175
181	704	3165
182	706	3154
183	708	3143
184	711	3132
185	713	3122
186	716	3116
187	719	3106
188	721	3096
189	727	3100
190	731	3099
191	734	3090
192	736	3078
193	738	3068
194	741	3062
195	744	3054
196	746	3044
197	749	3034
198	751	3025
199	754	3017
200	757	3009
201	759	3000
202	761	2991
203	764	2981
204	766	2972
205	768	2962
206	771	2954
207	773	2946
208	776	2937
209	778	2930
210	781	2921
211	783	2913
212	786	2905
213	789	2899
214	791	2889
215	793	2880
216	796	2874
217	801	2874
218	803	2866
219	808	2865
220	811	2858
221	813	2849
222	816	2843
223	818	2835
224	821	2828
225	824	2824
226	827	2816
227	831	2816
228	837	2818
229	840	2813
230	845	2815
231	852	2823
232	855	2815
233	860	2816
234	866	2822
235	870	2817
236	877	2824
237	882	2824
238	886	2821
239	888	2812
240	890	2805
241	894	2802
242	897	2796
243	900	2788
244	902	2779
245	904	2773
246	913	2783
247	914	2774
248	918	2769
249	923	2771
250	926	2766
251	931	2765
252	935	2761
253	938	2757
254	941	2750
255	946	2749
256	949	2746
257	952	2739
258	955	2732
259	957	2726
260	960	2719
261	964	2717
262	972	2724
263	980	2733
264	983	2727
265	985	2719
266	988	2714
267	991	2707
268	994	2703
269	999	2702
270	1001	2693
271	1003	2686
272	1005	2678
273	1009	2674
274	1033	2724
275	1069	2804
276	1071	2796
277	1073	2789
278	1105	2856
279	1113	2863
280	1116	2856
281	1153	2935
282	1166	2954
283	1168	2947
284	1172	2941
285	1176	2936
286	1180	2932
287	1183	2926
288	1187	2921
289	1190	2915
290	1193	2907
291	1197	2903
292	1200	2897
293	1207	2899
294	1211	2895
295	1217	2895
296	1223	2896
297	1235	2909
298	1244	2918
299	1270	2964
300	1284	2982
301	1293	2990
302	1297	2983
303	1301	2979
304	1306	2977
305	1311	2973
306	1345	3037
307	1372	3083
308	1381	3090
309	1384	3082
310	1387	3074
311	1392	3070
312	1394	3061
313	1397	3053
314	1403	3051
315	1405	3042
316	1408	3034
317	1411	3026
318	1413	3018
319	1416	3009
320	1418	3000
321	1420	2991
322	1422	2982
323	1425	2973
324	1428	2966
325	1431	2958
326	1433	2949
327	1436	2942
328	1439	2936
329	1441	2927
330	1444	2919
331	1448	2914
332	1452	2908
333	1454	2901
334	1458	2894
335	1462	2889
336	1465	2883
337	1468	2875
338	1471	2868
339	1479	2871
340	1481	2864
341	1485	2857
342	1491	2856
343	1494	2850
344	1497	2843
345	1502	2840
346	1506	2835
347	1509	2827
348	1511	2820
349	1517	2818
350	1520	2811
351	1523	2804
352	1525	2796
353	1527	2788
354	1533	2786
355	1536	2778
356	1538	2770
357	1542	2766
358	1545	2759
359	1549	2754
360	1551	2746
361	1553	2738
362	1556	2730
363	1558	2722
364	1560	2714
365	1563	2708
366	1565	2699
367	1567	2691
368	1569	2683
369	1571	2675
370	1573	2667
371	1575	2659
372	1579	2655
373	1582	2649
374	1585	2643
375	1602	2658
376	1603	2650
377	1606	2642
378	1609	2637
379	1612	2630
380	1614	2622
381	1616	2614
382	1618	2607
383	1620	2599
384	1622	2591
385	1625	2585
386	1629	2580
387	1631	2572
388	1633	2565
389	1635	2558
390	1639	2553
391	1643	2549
392	1645	2542
393	1648	2535
394	1650	2527
395	1656	2526
396	1658	2519
397	1660	2511
398	1662	2504
399	1665	2498
400	1670	2496
401	1674	2491
402	1676	2484
403	1678	2476
404	1680	2469
405	1695	2480
406	1716	2500
407	1724	2502
408	1728	2497
409	1732	2492
410	1734	2485
411	1737	2479
412	1739	2472
413	1741	2465
414	1745	2461
415	1748	2454
416	1750	2447
417	1752	2440
418	1755	2433
419	1757	2426
420	1760	2421
421	1763	2415
422	1766	2408
423	1767	2401
424	1770	2395
425	1772	2388
426	1776	2384
427	1779	2378
428	1782	2372
429	1784	2364
430	1786	2358
431	1788	2351
